구분,시설명,주소,연락처
호텔/콘도,한화 대천(파로스),충청남도 보령시 해수욕장3길 11-10한화리조트 대천파로스,041-931-5500
호텔/콘도,한화 산정호수(안시),경기도 포천시 영북면 산정리454-4,031-534-5500
호텔/콘도,한화 설악(쏘라노),강원도 속초시 장사동24-1,033-635-7711
호텔/콘도,한화 양평,경기도 양평군 옥천면 신복리141-5,031-772-3811
호텔/콘도,한화 여수 벨메르호텔,전남 여수시 웅천동 1875-1한화 여수 벨메르호텔,061-924-1500
호텔/콘도,한화 용인(베잔송),경기도 용인시 처인구 남사면 봉무리257-1,031-332-1122
호텔/콘도,한화 제주,제주도 제주시 회천동3-16,064-725-9000
호텔/콘도,한화 평창,강원도 평창군 봉평면 면온리946-7,033-334-6100
호텔/콘도,한화 해운대,부산시 해운대구 우동1410-3,051-749-5500
호텔/콘도,현대수 설악,"강원도 속초시노학동 729-3(이목로 153, 노학동)",033-635-9090
호텔/콘도,화진포콘도,강원도 고성군 거진읍 화진포길330,033-682-0500
