행번호,지역,시설명,할인행사명,시작일,종료일,연락처,홈페이지,상세설명
43,경상,파라다이스호텔(부산),연중 객실할인,2022-01-26,,051-749-2111～3,https://www.welfare.mil.kr,"객실 56%～68%(성수기 30%), 조식 17%할인, 사우나 50% 할인"
44,경상,아바니센트럴호텔(부산),연중 객실할인,2022-01-26,,051-791-5800,https://www.welfare.mil.kr,"객실 52%～70%, 성수기 요금 변동 가능, 조식 50% 할인"
45,경상,라발스호텔(부산),연중 객실할인,2022-01-26,,051-790-1500,https://www.welfare.mil.kr,"객실 72%～ 80% , 조식 25% 할인"
46,경상,페어필드바이메리어트부산송도비치호텔,연중 객실할인,2022-01-26,,051-260-0000,https://www.welfare.mil.kr,"객실 44% ～ 74%, 조식 33% 할인"
47,제주,더 플래닛(제주),생태문화전시관,2022-01-26,,0507-1486-2027,https://www.welfare.mil.kr,입장권 50% 할인
48,충남,아산스파비스,연중 이용권 할인,2017-05-19,,041-539-2000,https://www.welfare.mil.kr,53%～63%
49,경상,바이라한 울산,연중 객실할인,2020-03-13,,1644-8005,https://www.welfare.mil.kr,59%～60%
50,경상,바이라한 경주,연중 객실할인,2020-03-13,,1644-8005,https://www.welfare.mil.kr,70%～85%
51,전북,바이라한 전주,연중 객실할인,2020-03-13,,1644-8005,https://www.welfare.mil.kr,46%～65%
52,경상,바이라한포항,연중 객실할인,2020-03-13,,054-230-7000,https://www.welfare.mil.kr,42%～60%
53,전남,바이라한 목포,연중 객실할인,2020-03-13,,061-463-2233,https://www.welfare.mil.kr,20%～44%
54,강원,씨마크 호텔,연중 객실할인,2020-03-13,,033-650-7000,https://www.welfare.mil.kr,12% ∼52%
55,강원,에버랜드 자유이용(국.복지정책과),연중이용할인권,2016-11-25,,070-7867-2014,https://www.cielsportsmedia.co.kr,본인무료
56,경기,용평리조트 피크아일랜드,이용할인(자유이용권),2018-10-01,,02-509-6214,https://www.welfare.mil.kr,"눈썰매장 및 자유이용권,  50%"
57,충남,과천서울랜드,이용할인,2016-11-25,,070-7867-2014,https://www.welfare.mil.kr,"눈썰매장 및 자유이용권,  50%"
58,경기,파라다이스 도고 스파,연중 이용할인,2016-12-26,,02-456-2014,https://www.cielsportsmedia.co.kr,"씨엘스포츠 폐쇄몰 예약, 50%"
59,경기,어메이징파크,스키시즌권 ,2018-09-07,,02-456-2014,https://www.cielsportsmedia.co.kr,"씨엘스포츠 폐쇄몰 예약, 50%"
60,경기,베어스타운스키시즌권,리프트권,2017-11-22,,070-7867-2014,https://www.welfare.mil.kr,"씨엘스포츠 폐쇄몰 예약, 50%"
61,강원,베어스타운 리프트권,스키시즌권,2016-09-05,,070-7867-2014,https://www.welfare.mil.kr,"씨엘스포츠 폐쇄몰 예약, 50%"
62,강원,용평리조트 스키시즌권,리프트권,2016-11-25,,070-7867-2014,https://www.welfare.mil.kr,"씨엘스포츠 폐쇄몰 예약, 연도별 가격 변동"
63,강원,용평리조트 리프트권,스키시즌권,2017-08-29,,02-456-2014,https://www.cielsportsmedia.co.kr,"씨엘스포츠 폐쇄몰 예약, 연도별 가격 변동"
64,전북,웰리힐리스키시즌권,스키시즌권,2017-09-12,,02-456-2014,https://www.cielsportsmedia.co.kr,"씨엘스포츠 폐쇄몰 예약, 연도별 가격 변동"
65,강원,보광휘닉스파크스키시즌권,스키시즌권 1차,2018-08-29,,02-2031-1438,https://www.welfare.mil.kr,"씨엘스포츠 폐쇄몰 예약, 연도별 가격 변동"
66,강원,용평리조트 발왕산 케이블카 왕복권,이용할인,2018-10-25,,02-456-2014,https://www.cielsportsmedia.co.kr,"씨엘스포츠 폐쇄몰 예약, 패키지 50% 할인"
67,경기,베어스타운리조트 스키장비 렌탈,스키장비 대여할인,2018-12-06,,02-456-2014,https://www.cielsportsmedia.co.kr,"씨엘스포츠 폐쇄몰 예약, 50%"
68,제주,세인트포골프&리조트,골프,2019-11-12,,064-786-3800,https://www.stfour.com,"골프 25% ∼ 15%, 콘도 50% ∼ 20%"
69,경남,거제씨월드,연중 이용할인,2017-01-11,,055-682-0330,https://www.welfare.mil.kr,10% ～ 20%
70,서울,한화아쿠아플라넷,이용할인,2017-04-13,,1661-1063,https://www.welfare.mil.kr,50% 내외
71,전국,롯데시네마(국.복지정책과),연중 이용할인,2018-01-01,,02-748-6625,https://www.welfare.mil.kr,"2D 주중 7,000원, 주말 8,000원 관람, 3D 주중 8,000원, 주말 9,000원, 매점 2,000원 ～ 4,000원 할인 * 동반 3인"
72,서울,코엑스아쿠아리움,연중 이용할인,2017-11-24,,02-700-7305,https://www.welfare.mil.kr,"50% 내외, "
73,서울,N서울타워,연중 이용할인,2018-02-28,,02-3445-9221,https://www.welfare.mil.kr,패키지상품 운영
74,경기,롯데월드언더씨킹덤,연중 이용할인,2018-07-01,,02-456-2014,https://www.cielsportsmedia.co.kr,씨엘스포츠 폐쇄몰 예약
75,전국,CGV(국.복지정책과),연중 이용할인,2016-09-22,,02-748-6625,https://www.welfare.mil.kr,"주중 7,000원, 주말(2D,3D) 8,000원, 더블콤보 5,000원 할인, 동반3인"
76,전국,빕스할인(국.복지정책과),연중 이용할인,2016-09-22,,02-748-6625,https://www.welfare.mil.kr,"군인동반 테이블에 한해 1일 1회, 할인 전 주문금액 10만원한도내"
77,전국,메가박스할인(국.복지정책과),연중 이용할인,2018-10-08,,02-748-6625,https://www.welfare.mil.kr,"2D 주중 7,000원, 주말 8,000원 관람, 3D 주중 8,000원, 주말 9,000원, 매점더블콤보 6000원 할인 * 동반 3인"
78,전국,JDX 멀티스포츠,매장이용할인,2016-08-01,,02-2225-6216,https://www.welfare.mil.kr,50%～60%
79,전국,에어부산(수송사),이용할인,2016-07-04,2026-07-31,02-3419-7553,https://www.welfare.mil.kr,"부산-김포(월 ∼목 15%, 금 ～일 10%), 제주 노선 10%, 국제선 4 ∼ 6%, 성수기 및 일부기간 제외, 해당항공사 접속"
80,전국,진에어(수송사),이용할인,2017-09-18,2026-12-01,02-3419-7553,https://www.welfare.mil.kr,"주중,주말 탄력할증, 성수기 정상운임의 10%, 해당항공사 접속"
81,전국,에어서울(수송사),이용할인,2022-04-15,,,https://www.airseoul.com,"국내선 할인 10%,  에어서울 홈페이지 접속후 인터넷 예약"
82,전국,제주렌트카,이용할인,2017-10-01,,1588-3301,https://www.welfare.mil.kr,"비수기 주중 최대85%, 주말80%, 연휴  최대40%∼65%, 극성수기 최대 30%, 해당업체 사이트 접속 필요"
83,전국,롯데렌터카,연중 이용할인,2015-09-09,,1588-1230,https://www.welfare.mil.kr,"주중 50%, 주말 45%, 해당 업체 사이트 접속필요"
84,전국,티웨이항공(수송사),연중 운임할인,2016-12-02,2026-12-01,02-3419-7553,https://www.welfare.mil.kr,"10~30%, 해당항공사 접속"
85,전국,제주항공(수송사),연중 운임할인,2016-12-02,2026-06-30,02-3419-7553,https://www.welfare.mil.kr,7~25%
86,전국,통인익스프레스,이용할인,2018-02-01,2023-02-28,1899-0123,https://www.welfare.mil.kr,12%∼20%
87,전국,로젠이사,이용할인,2018-02-01,2023-02-28,1544-0024,https://www.welfare.mil.kr,7%∼13%
88,전국,대신로지스틱스,이용할인,2018-02-01,2023-02-28,02-3436-0123,https://www.welfare.mil.kr,5%∼7%
89,전국,국민트랜스,이용할인,2018-02-01,2023-02-28,02-482-0071,https://www.welfare.mil.kr,10%∼14%
